latitude,longitude,road_type,traffic,wildlife,weather,risk
30.95178930793687,79.04130863057819,2,165,4,1,0
31.408950774043852,78.2323644017569,3,276,7,1,1
29.531584418025755,79.78569066108236,3,82,5,0,0
29.518535360800154,79.54028877732266,2,107,4,1,0
30.26724611099245,79.91710732228827,2,80,4,1,0
29.95677499564694,80.15902992596696,1,342,3,0,1
31.146117138346458,78.10129270392227,1,336,2,0,1
31.402128322372644,78.35803093049253,1,233,1,0,0
30.50620733247295,78.13519672917579,1,102,1,1,0
30.61379430198868,80.10302567123556,2,487,5,1,1
30.221153872457933,80.0207741654435,3,142,5,1,1
30.979723135520437,79.51749685685199,1,130,7,0,0
30.077601462823655,79.75738764727696,3,467,5,0,0
30.889206248722267,79.54408120705178,2,156,6,1,1
31.175223919185225,78.7527353955289,2,223,8,0,0
30.056525756794475,78.89981657656948,2,280,9,1,1
29.741983490657642,80.468043578673,1,36,3,1,0
30.309491026202036,78.9025867763335,2,223,5,1,1
30.816777251523668,79.07955641934241,2,478,9,1,1
31.353048155755957,78.54598106292168,3,288,2,0,0
31.077181130012796,79.49758261606443,1,486,6,0,1
29.84223386063719,78.18149790298034,1,430,6,0,1
31.06374487604591,78.34005581708438,1,376,8,0,1
29.642939948014963,79.18144878810237,3,450,9,0,1
29.715484851251922,80.03590942842871,3,155,4,0,0
31.426346659898133,79.59374201239234,1,318,8,0,1
29.601497351500555,78.20276968048316,2,123,3,1,0
30.10665005035568,78.0242752474118,2,351,2,1,0
30.516468733324363,78.04894307580655,3,412,9,1,1
30.199567696268698,78.9142667337422,2,350,6,1,1
31.42931925412478,79.08405871147895,1,49,8,0,0
31.40038232569568,79.07903827697574,3,368,3,0,0
31.380550821018108,79.85337232476137,2,47,3,1,0
29.98544926600135,79.76098925502666,2,430,8,0,0
30.060476992306548,80.42903081445755,1,50,8,1,1
30.939346599461253,78.61581504426292,3,32,9,0,1
31.269947204134855,79.64320910995541,1,496,1,1,1
30.30443947506332,80.46894505276818,1,467,8,0,1
31.293035521546916,79.96865489911978,3,57,5,1,1
30.26207169161019,78.87136688254904,3,407,2,0,0
30.669753456759818,78.98976012824147,3,109,3,0,0
29.848354466083713,80.47538722705747,3,468,1,1,0
29.525905916807115,79.88467454057317,3,282,6,0,1
31.282243846494477,79.50712926365219,2,21,5,0,0
30.329661965957396,78.69056963026483,2,331,2,0,0
31.27916803978114,79.24520164553418,1,377,5,0,1
29.70652723960812,80.01177925220027,2,208,3,1,0
31.061460121896474,80.39494939023358,2,485,1,0,0
30.994876631462688,79.05887601387106,1,217,5,0,0
31.49983764698012,80.33468525051694,3,280,5,1,1
30.776235564796533,78.60710025309534,3,257,2,1,0
31.293969577190165,79.71493979134773,3,242,2,1,0
30.13032554449499,80.37310842293846,1,331,2,0,1
31.192076318203778,79.28455429026901,2,447,3,0,0
30.74462863191253,79.50931719576072,3,111,6,1,1
30.00878824283521,79.93499690111658,3,473,2,1,0
30.631830858461534,80.2528962714987,1,498,8,1,1
30.163269070904306,78.23085650462048,3,166,6,0,1
29.572344285140147,79.08354117710634,1,320,4,1,1
30.65358137875229,78.40844683507011,1,441,5,0,1
31.061435753723252,79.82779248999395,1,266,2,0,0
30.76741087279091,78.91560534239186,3,472,1,1,0
29.59758173020307,79.1591027208721,2,241,7,1,1
30.73727246362887,80.26994771625213,1,197,9,0,0
30.577851763441522,78.03208164982898,1,89,3,0,0
29.86202707350851,78.30242123555126,2,409,7,1,1
29.501689752745712,79.20587789017833,3,265,6,1,1
29.63268087039895,79.02278179773727,3,282,9,1,1
30.503027731279165,78.41095667529723,1,278,9,1,1
30.810811486252607,79.78748187706525,1,72,7,0,0
30.653751025875053,78.22402289223325,3,42,1,0,0
29.618059335283128,80.36978091386199,2,169,4,0,0
29.680672331711506,79.73158433585573,2,483,8,1,1
29.75589237760909,79.60397289513621,3,498,3,0,0
29.62277906094219,80.46405028272993,3,193,4,1,0
29.566942871009918,78.63322407734003,1,112,9,1,1
30.357882730065814,78.50074282435932,3,253,2,0,0
29.648001415715356,79.81583149184048,3,443,1,0,0
30.890381195428137,78.13294622250726,1,155,5,0,0
30.614461509877156,79.32001396338286,1,298,6,0,0
29.71459937866934,78.40868113270962,3,119,4,0,0
31.335070445504964,79.00841693211339,1,241,6,1,1
29.991132608803163,79.40380581207067,2,491,8,1,1
29.817582045087676,78.3881951222203,3,490,9,0,1
31.09192455530698,78.13904038196407,1,306,5,0,1
29.808707752420638,80.07250975621093,3,366,8,0,1
29.625697628879465,79.08918878164765,1,255,9,0,0
30.807900641866805,80.32720772964412,2,34,1,1,0
30.537861109938444,80.1602205235368,2,165,6,0,0
30.521556486173765,78.31244237113285,2,186,1,0,0
31.22660432519433,79.88503164560197,1,344,5,1,1
31.002291813686398,79.02576843232774,2,452,2,0,0
31.41011575855389,78.42125259258083,2,312,9,0,0
30.59655761568826,80.4298029377726,1,432,9,1,1
31.07846483352011,80.31680365324398,1,476,8,1,1
30.448146965503863,78.02662139920044,2,28,3,0,0
31.149507299680362,78.40869374711565,2,320,6,0,0
29.81723957429858,79.60230110882527,1,144,8,0,0
29.688805426002364,80.48060802616413,2,204,6,1,1
30.461305907660307,80.42863370960045,2,475,5,1,1
30.55406806559774,78.98700120825438,3,237,9,0,1
29.96239981315076,78.3632440820085,3,273,5,0,0
30.75817039943776,78.7869731379358,1,320,1,1,1
30.223395058903456,80.0200873300722,1,480,3,1,1
30.344968171469564,78.6459979906659,2,100,7,1,1
29.516853126940966,78.48493843739426,1,175,1,0,0
30.3548577007302,78.95025634283853,1,75,2,0,0
29.711758728281236,79.98277255806236,1,416,8,0,1
30.72992225497919,79.50566043026613,3,154,5,1,1
29.504574594683852,78.18755107799115,1,191,9,1,1
31.23623827091357,78.59429074534533,1,265,7,1,1
29.913007563313876,80.46470555286906,1,212,8,1,1
